Publisher,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020
Arena Entertainment,,,,,,,,,,,,,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,
Aria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,
Arika,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.07,,,,0.09000000000000001,,,,,,,,,,
ArtDink,,,,,,,,,,,,,,,0.25,,0.47,,0.5599999999999999,,,0.61,,,,,,,,0.65,0.67,,,,0.73,,,,
Aruze Corp,,,,,,,,,,,,,,,,,,,,0.54,1.1800000000000002,,,,,,,,,,,,,,,,,,
Ascaron Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
Ascaron Entertainment GmbH,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.10999999999999999,,,,,,,,,,
Asgard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.17,0.18000000000000002,0.23000000000000004,,0.25000000000000006,,,
Asmik Ace Entertainment,,,,,,,,,,,,,,,,,0.1,,,,0.19,,,,,,0.23,,,,,,,,,,,,
Asmik Corp,,,,,,,,,,,,,,,0.07,0.17,,,,,,,,,,,,,,,,,,,,,,,
Aspyr,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.03,0.14,0.62,,,,,,,,,
Astragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.5800000000000001,0.6200000000000001,,,,,0.6400000000000001,,
Asylum Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.5900000000000001,,,,,,,
Atari,8.36,16.810000000000002,36.24,39.63,,,40.29,41.15,,41.3,,,,,,,,,42.76,45.059999999999995,49.87,57.92,79.17,96.21,107.75999999999999,116.13999999999999,120.46999999999998,131.83999999999997,140.52999999999997,145.03999999999996,146.46999999999997,146.69999999999996,146.74999999999997,,,,146.76999999999998,,
Athena,,,,,,,,,,,,,,,,,,,,0.02,,0.09000000000000001,,,,,,,,,,,,,,,,,
Atlus,,,,,,,,,,,,,,,0.45,1.56,1.81,2.2,2.41,2.67,3.02,3.11,3.1999999999999997,3.3899999999999997,3.4799999999999995,,3.5299999999999994,3.6299999999999994,5.129999999999999,6.089999999999999,6.909999999999999,7.469999999999999,10.479999999999999,11.309999999999999,11.899999999999999,12.28,12.74,,
Avalon Interactive,,,0.17,,,,,,,,,,,,,,,,,0.27,,,0.32,0.36,0.48,,,,,,,,,,,,,,
Avanquest,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.72,1.6199999999999999,2.3899999999999997,2.8999999999999995,,,,,2.9399999999999995,,
Avanquest Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6400000000000001,1.6500000000000001,,1.6900000000000002,,,
Axela,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,
BAM! Entertainment,,,,,,,,,,,,,,,,,,,,,0.11,1.32,4.2,4.8500000000000005,4.95,,,,,,,,,,,,,,
BMG Interactive Entertainment,,,,,,,,,,,,,,,,,0.27,0.6000000000000001,1.1800000000000002,,,,,,,,,,,,,,,,,,,,
BPS,,,,,,,,,,,,0.32,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,
Banpresto,,,,,,,,,,,,0.51,0.67,2.37,2.99,3.7500000000000004,4.8100000000000005,5.680000000000001,6.380000000000001,7.120000000000001,7.920000000000001,9.370000000000001,10.39,11.700000000000001,12.47,13.790000000000001,14.4,15.99,16.46,16.78,,17.400000000000002,,,,,,,
Benesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.33,,,,,,,,,,
Berkeley,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,
Bethesda Softworks,,,,,,,,,,,,,,,,,,,,,,,1.31,1.51,1.76,1.95,2.05,3.08,14.469999999999999,15.76,24.17,49.26,54.16,,62.839999999999996,79.28,81.53,,
