Platform,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020
2600,11.379999999999999,47.150000000000006,76.01,81.84,82.11,82.56,83.22,85.2,85.95,86.57000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DO,,,,,,,,,,,,,,,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,
3DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.53,113.67000000000004,169.55000000000007,212.68000000000012,239.67000000000013,246.27000000000012,,
DC,,,,,,,,,,,,,,,,,,,3.39,8.559999999999999,14.549999999999997,15.619999999999997,15.909999999999997,,,,,15.929999999999996,15.969999999999995,,,,,,,,,,
DS,,,,,,0.02,,,,,,,,,,,,,,,,,,,17.479999999999993,148.8800000000002,270.0300000000002,419.39000000000044,567.2800000000009,689.2700000000009,777.2500000000008,805.0500000000008,816.6400000000008,818.6000000000008,818.6200000000008,,,,818.9100000000008
GB,,,,,,,,,1.43,66.41000000000001,71.30000000000001,76.87,102.35000000000001,,114.52000000000001,118.12,154.14000000000001,160.51000000000002,187.41000000000003,225.42000000000002,245.18,254.42000000000002,,,,,,,,,,,,,,,,,
GBA,,,,,,,,,,,,,,,,,,,,,0.06,61.680000000000014,136.06,192.78999999999996,265.5799999999999,298.04999999999995,303.4,305.62,,,,,,,,,,,
GC,,,,,,,,,,,,,,,,,,,,,,26.299999999999997,78.22999999999999,128.89,157.77999999999997,185.57999999999996,196.86999999999995,197.13999999999996,,,,,,,,,,,
GEN,,,,,,,,,,,2.6,6.9399999999999995,19.6,20.25,28.36,,,,,,,,,,,,,,,,,,,,,,,,
GG,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,
N64,,,,,,,,,,,,,,,,,34.10999999999999,73.61999999999998,122.9,180.85999999999999,214.86999999999998,218.12999999999997,218.20999999999998,,,,,,,,,,,,,,,,
